conjunto,total_tokens,total_arquivos,media_por_arquivo,tag,frequencia
Human_Total,1074377,4919,218.41370197194553,PROPN,82917
Human_Total,1074377,4919,218.41370197194553,PRON,36299
Human_Total,1074377,4919,218.41370197194553,VERB,113214
Human_Total,1074377,4919,218.41370197194553,ADP,154996
Human_Total,1074377,4919,218.41370197194553,NOUN,199679
Human_Total,1074377,4919,218.41370197194553,PUNCT,140944
Human_Total,1074377,4919,218.41370197194553,DET,156533
Human_Total,1074377,4919,218.41370197194553,ADJ,47118
Human_Total,1074377,4919,218.41370197194553,NUM,18388
Human_Total,1074377,4919,218.41370197194553,SCONJ,17031
Human_Total,1074377,4919,218.41370197194553,ADV,38275
Human_Total,1074377,4919,218.41370197194553,CCONJ,25436
Human_Total,1074377,4919,218.41370197194553,AUX,33137
Human_Total,1074377,4919,218.41370197194553,SYM,4181
Human_Total,1074377,4919,218.41370197194553,X,5956
Human_Total,1074377,4919,218.41370197194553,INTJ,273
LLM_Total,2150682,5391,398.9393433500278,NOUN,413093
LLM_Total,2150682,5391,398.9393433500278,PROPN,187473
LLM_Total,2150682,5391,398.9393433500278,ADJ,142931
LLM_Total,2150682,5391,398.9393433500278,CCONJ,53917
LLM_Total,2150682,5391,398.9393433500278,VERB,214932
LLM_Total,2150682,5391,398.9393433500278,ADP,313388
LLM_Total,2150682,5391,398.9393433500278,PUNCT,278794
LLM_Total,2150682,5391,398.9393433500278,DET,313056
LLM_Total,2150682,5391,398.9393433500278,SCONJ,30616
LLM_Total,2150682,5391,398.9393433500278,AUX,53238
LLM_Total,2150682,5391,398.9393433500278,ADV,68641
LLM_Total,2150682,5391,398.9393433500278,PRON,43914
LLM_Total,2150682,5391,398.9393433500278,SYM,7195
LLM_Total,2150682,5391,398.9393433500278,NUM,27407
LLM_Total,2150682,5391,398.9393433500278,X,2041
LLM_Total,2150682,5391,398.9393433500278,INTJ,46
