tag,total_ocorrencias,media_por_arquivo
NOUN,199679,40.59341329538524
DET,156533,31.822118316731043
ADP,154996,31.5096564342346
PUNCT,140944,28.652978247611305
VERB,113214,23.01565358812767
PROPN,82917,16.856474893270992
ADJ,47118,9.57877617401911
ADV,38275,7.781053059564952
PRON,36299,7.37934539540557
AUX,33137,6.736531815409636
CCONJ,25436,5.170969709290506
NUM,18388,3.7381581622280953
SCONJ,17031,3.462289083146981
X,5956,1.2108152063427526
SYM,4181,0.8499695059971539
INTJ,273,0.055499085179914615
